HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
124999.27,-3.314318,2.7746122,2.0140023,151888.73,2,0.030984212
126459.51,-0.51002574,0.31559253,2.983282,231300.86,3,-0.008301873
125667.125,-0.24813713,3.040038,2.6079562,1.9729705e+06,5,0.28407604
130096.0,1.9623724,2.4373267,3.3199282,429045.6,2,-0.25376976
119465.445,-2.3335922,2.390921,3.3160005,433279.7,3,0.36818558
126085.805,-2.8257394,1.8535647,3.3811874,817231.4,4,0.9923274
131439.19,-2.7719233,2.0025442,2.2912045,127202.13,3,0.5258847
115062.95,-2.8647065,1.7703375,2.2348762,112851.055,3,0.1784382
115234.91,-2.9316843,2.8030238,2.4887283,198021.42,5,0.63251406
117863.97,-3.5052054,2.9558032,2.0298693,172877.84,2,-0.06775845
115821.21,0.6935261,2.883325,2.9920044,587387.56,2,0.11595167
127904.69,-2.803665,2.2390707,2.1040654,126170.36,2,-0.967001
117541.13,-0.55055165,0.47783375,2.1094294,103717.164,5,-0.35683787
119400.55,-2.136781,2.5387716,3.8930826,913994.2,3,1.6489003
134514.12,-1.0846065,2.609106,6.85604,1.4911978e+06,2,0.0075857975
134097.5,-3.038231,2.5241065,2.4051898,241353.02,2,0.2078174
123416.9,-3.9423308,2.9419534,2.6306586,184745.92,3,-0.005825221
128229.69,-1.7829565,2.7986078,3.592606,358329.7,4,-0.074455924
121072.06,-3.693337,2.534941,2.7472482,198570.86,5,-0.23412226
130090.5,-3.8852434,2.9522018,2.8980193,1.4515502e+06,4,-0.21044265
117012.914,1.7477849,2.9543774,4.778724,602273.8,2,-0.03696526
120372.65,-1.6063278,0.64136934,5.4942894,648212.94,3,-0.06593561
128572.086,-2.4738343,1.0861784,2.0163784,105296.836,2,-0.27648163
130057.53,-3.163166,2.0431473,2.5292819,244584.95,2,-0.3032251
115930.445,-1.8146946,0.9197371,2.4434295,184596.94,5,-0.24900189
125222.23,-2.5669954,2.5871031,2.802967,398455.53,4,-0.9903213
129789.586,-1.453954,2.2540684,4.8510685,456428.28,3,-0.05527362
132394.98,-2.3906755,1.8208582,2.603069,192428.38,2,1.1642501
123304.25,-2.8033226,1.7250817,2.1273186,163853.1,3,-0.5197089
127655.09,0.20813432,3.0437803,2.9627252,390315.25,8,-0.16965882
131891.5,-1.9306173,2.8550153,6.769477,1.0255444e+06,4,0.02312437
134617.2,-0.121358894,2.632901,4.8733997,463691.9,2,-0.030467868
127583.86,-1.6800864,2.8223617,4.2746596,276190.28,6,-0.048594743
125960.086,-2.3209004,2.6595104,2.0272856,340541.62,4,-0.2903125
118169.92,-1.2429829,2.640472,3.8095946,487851.3,4,-0.015868938
120658.37,-3.2559297,3.1052752,2.8786716,395928.38,5,-0.29171896
116558.2,-2.0696485,2.4665778,2.3615737,250923.1,2,-0.23636149
130876.07,1.0405241,1.0685898,6.0731835,1.3204116e+06,3,0.12929094
115351.18,-2.1094313,2.9331577,2.7225566,164264.45,3,-0.11778801
123366.14,-1.3559539,2.8874454,2.7710667,343954.22,2,0.191795
129059.0,0.16533738,2.8108673,6.666396,1.08133e+06,9,0.0058211293
134675.03,-1.6580098,2.5677912,2.1797109,140469.22,2,-0.015449317
120012.97,-1.7892964,2.6272871,2.269008,154830.42,4,-0.033375002
132083.19,-1.0239819,0.7227361,4.8409815,701716.75,4,-0.17091459
124112.73,-3.0540144,0.4262975,2.727967,199726.84,2,-0.44062746
122214.95,-1.3321004,2.505818,2.5132563,223007.45,3,-0.082813695
132074.4,-0.6154268,2.839272,3.4051957,349221.8,4,-0.081060134
126215.34,-1.7576494,2.2479658,4.0867457,981479.6,4,0.49198025
133319.72,-0.9892515,2.5191507,2.8526092,296549.94,3,-0.09745658
118166.086,-1.5050793,0.97267985,2.254416,211364.0,3,0.2742976
128427.89,-0.9275289,2.5086524,2.8998337,428450.62,4,0.47612584
117239.61,-1.7733935,0.9670701,6.100521,738955.6,2,0.05654403
134034.55,-0.90904665,3.0399296,3.617836,547264.3,3,-0.013204394
115709.71,-3.3505914,2.3878465,2.3705518,228673.42,5,0.2807008
134838.33,0.21913506,2.0221605,4.758528,533172.06,3,-0.16332996
120455.8,-4.4828253,0.30499136,2.5111399,105982.44,2,-0.036397096
123137.3,-4.379851,1.5229976,4.4376493,323706.8,3,-0.086384445
122318.46,-2.3515575,1.6043679,5.0704994,2.4534065e+06,3,-0.8360452
129430.38,-3.771611,1.8224796,2.8655593,213120.52,3,0.13196556
131958.56,-3.6837332,1.9493699,2.0563767,384708.0,8,1.1152095
133520.81,-3.0144527,2.9330382,2.7055678,488657.4,4,0.16519624
129312.22,-1.2836673,0.042318583,7.9500737,2.273818e+06,5,0.000121068
128939.32,0.39387158,0.18666339,4.025712,282278.72,2,-0.019719677
117203.53,-2.0617666,2.4317615,2.2507882,130775.484,2,0.09210024
122355.72,-3.7464805,2.5586905,3.2501364,249777.67,4,-0.018408053
119431.14,-0.40599236,2.9043224,2.3568816,630114.25,8,-0.030238533
121010.02,-1.9520102,1.8713301,2.940789,364847.16,3,-0.18400577
124275.266,-1.6426563,3.0913906,3.255206,312787.16,5,-0.03105319
119440.03,-1.7779491,2.695077,3.093454,290865.4,2,-0.11104521
133557.6,0.77707654,2.2389054,2.6263304,255349.2,2,-0.22296055
131699.36,-1.0355183,1.0843537,3.4122834,456098.8,4,0.44310522
119641.77,-0.47378552,2.2720835,2.2633045,293762.3,3,0.2693272
125341.945,-2.3035972,3.0855665,2.3608298,167842.7,3,-0.028689578
115162.17,0.7510563,2.1612554,4.2840014,458692.78,2,-0.17389578
122044.32,-0.29352224,1.0006279,2.1818323,139979.03,3,0.3676634
122626.36,1.1370713,1.8291551,2.7297294,245384.1,2,-0.24304809
123734.91,-3.9355109,2.7360573,2.008117,152216.12,2,0.044209868
120691.56,-2.9830163,1.4424498,3.0468526,153656.36,3,0.060938664
117891.37,-2.9030964,2.1524189,2.3726454,138495.3,4,-0.050855663
124384.11,0.25340906,1.434493,4.851458,566917.56,5,0.193161
129688.21,0.049031347,2.6366298,3.2109718,401242.62,2,0.22208457
131912.28,-3.3019543,2.147038,5.5588665,804617.25,4,-0.04998994
120993.51,-0.28720868,1.8421957,2.0180671,263949.94,2,-1.1248497
127197.97,-1.2553304,1.2390535,3.1101506,325943.7,7,0.13595444
119766.82,-1.0351187,2.6261458,3.5672693,240139.98,2,0.045522515
123790.3,1.4449675,1.4063178,5.5888157,731049.3,4,0.1918984
120219.93,-3.353167,1.2279298,2.463645,177353.94,6,0.099778555
118065.18,-0.19498152,1.8957274,4.865324,370559.28,2,-0.07633903
115391.81,-0.9142883,0.51312405,5.59035,707453.4,4,0.08046877
