HiggsM,Frequency
115000.0,17533.531109154224
115000.0,17254.481927275658
115050.1253132832,16846.346704781055
115100.25062656641,16932.134087204933
115150.37593984962,17035.633266091347
115200.50125313284,17500.209231197834
115250.62656641605,17088.54536050558
115300.75187969925,17170.007871866226
115350.87719298246,17082.53892159462
115401.00250626566,17407.440942764282
115451.12781954887,16489.139385402203
115501.25313283208,17381.153835833073
115551.37844611528,17421.76120197773
115601.5037593985,16940.064976215363
115651.62907268171,16870.90915185213
115701.75438596492,16879.459978222847
115751.87969924812,17194.252025663853
115802.00501253133,17137.720202207565
115852.13032581453,16414.493246912956
115902.25563909774,16679.757881641388
115952.38095238095,17041.88650470972
116002.50626566417,16654.080918431282
116052.63157894737,16584.095572829247
116102.75689223058,16762.24382829666
116152.88220551379,16169.047020435333
116203.00751879699,16565.60420268774
116253.1328320802,16454.06248730421
116303.2581453634,16796.72135567665
116353.38345864661,16720.95776295662
116403.50877192983,17017.73147302866
116453.63408521304,16410.622800707817
116503.75939849624,16429.129840672016
116553.88471177945,16823.357116162777
116604.01002506266,16395.074419140816
116654.13533834586,16952.904437184334
116704.26065162907,16365.026554763317
116754.38596491228,17025.3097910285
116804.5112781955,16777.841178059578
116854.6365914787,16448.034502387047
116904.76190476191,16668.703801095486
116954.88721804511,16790.534713804722
117005.01253132832,16635.184091627598
117055.13784461153,15917.174207925797
117105.26315789473,16373.529392302036
117155.38847117794,15927.347840309143
117205.51378446116,16284.357328176498
117255.63909774437,16725.11124533415
117305.76441102757,16537.356409192085
117355.88972431078,15996.375367999077
117406.01503759398,15746.69731003046
117456.14035087719,16373.658668339252
117506.2656641604,15843.965775668621
117556.3909774436,16186.661859869957
117606.51629072682,16006.749769985676
117656.64160401003,15789.86767154932
117706.76691729324,15890.31906992197
117756.89223057644,16376.68686157465
117807.01754385965,16655.760527551174
117857.14285714286,16012.354669690132
117907.26817042606,15865.802652955055
117957.39348370927,16049.996521890163
118007.51879699249,16017.954672574997
118057.6441102757,15648.399532914162
