HiggsM,DNN_score,DPhi_jj,OO1
133568.98,-3.7630463,1.5538466,0.85843533
120745.484,1.5241024,2.3365993,0.69327766
125156.72,-1.4825665,2.0326855,0.581106
124986.39,-0.7197945,0.20705569,-0.5590236
117646.28,0.7181408,2.5531058,0.5259866
132284.64,-1.5287488,1.540182,-0.8768204
127033.78,-2.9386246,1.2569959,0.7424421
130464.41,-3.3388047,0.25174806,0.70076156
115015.0,-4.2977,2.790235,-0.51014537
117436.17,-2.7374535,3.1240716,0.28909016
134638.2,-4.0889826,1.753825,0.8392845
116958.64,-1.9039658,0.20794259,0.50462884
124439.31,-0.5336547,0.13393806,0.84310216
121428.4,-2.7750268,0.49962112,0.5734663
123217.625,-3.2867234,1.3778229,-0.8197928
128099.52,-2.0285335,0.19493066,-0.28254098
122749.07,-1.5678291,2.3948636,0.8577492
118294.36,-2.3437066,1.3450383,0.49039283
127140.375,-2.526793,3.1518362,-0.76726353
117531.1,-0.1761122,2.8591518,0.54167914
118415.69,-1.0979316,2.4713814,0.5228665
134163.42,3.2018294,0.63505596,-0.73365784
117799.76,-1.1375905,3.1092644,0.39775345
131530.17,-1.081279,2.3124156,-0.62793976
130539.3,-2.6668801,3.1313167,0.57060784
129957.81,-1.0909561,1.0046884,-0.7315907
131456.42,0.3021738,1.7800088,-0.8027048
129826.38,-1.1807635,2.0885792,0.44950378
134427.52,-4.0611506,0.39950565,0.53033054
120383.08,-1.9276801,3.1298993,-0.5450832
126277.12,-1.2237465,0.70156735,-1.0240269
123919.4,-2.6758285,2.119158,0.5329446
134906.83,-1.7536724,2.2894526,-0.55715346
125257.33,-1.1687148,2.8741937,0.34835216
124867.484,-1.8131094,2.6496725,-0.83686244
124449.14,1.1042228,1.4743645,0.88979983
122250.57,-2.4993873,2.1147926,-0.8154934
117005.05,-0.8894121,1.878767,-0.70726883
121079.01,-2.8077404,2.158664,-0.72333264
118558.67,-2.34492,1.9975587,-0.6591251
122950.45,-3.1746423,1.0983081,0.609384
115660.055,-2.379169,2.709672,-0.6940276
117159.78,-2.475012,2.8904407,-0.50852746
122615.555,-3.8902617,2.7429695,0.5316664
117310.5,-2.9723625,1.1509948,0.59595233
119362.586,-1.8949217,2.8165286,0.9472191
120124.41,-2.3737743,2.9064512,0.39949286
127104.195,-2.76377,2.9336042,0.57236755
117156.805,-2.2213755,1.7709104,-0.6093856
130859.22,-0.3483308,2.621712,-0.5600175
115854.66,-2.4978492,1.405205,0.75547814
122114.97,-1.7038367,3.0276535,-0.26506716
134401.64,2.9240642,1.765442,-0.69774175
131495.92,-3.74597,2.8954546,0.72831196
131819.78,-2.763287,1.9384567,0.59108615
124608.79,1.735144,2.6848428,-0.5333097
115321.69,-1.6828558,2.2534268,0.5625425
116242.31,-4.420382,2.233457,0.73237723
115417.375,0.54885614,2.365684,0.51363087
123902.05,-1.4974757,2.4739015,-0.77352434
129667.17,-3.7687926,2.1583807,0.74104613
116149.63,1.8425894,2.60323,0.5724255
121736.734,-3.9131613,2.597958,0.8075155
126107.38,3.0782597,0.1276081,-0.2910186
129252.9,-2.4910462,3.005674,-0.32767144
134827.53,-1.0087494,3.0326848,-0.47253478
127934.89,0.6226628,2.9195495,0.4161041
124511.945,2.5990498,1.0539794,-0.95815384
127682.8,-2.576255,2.8162692,-0.7374526
115902.805,-2.5685396,2.692028,0.64268476
115570.07,-0.85181725,0.5333393,0.5826122
129949.08,1.2139522,2.0364852,0.68818974
131624.88,-2.2654219,1.8249264,1.0488293
127808.91,-2.2902424,3.128455,-0.43019605
124398.164,-1.4766042,1.5909269,0.3191135
121487.445,-0.45867297,0.8588238,-0.50605893
124145.8,-1.2888267,2.4047716,0.5389834
128844.38,-0.11555654,2.7472577,-0.42906138
131023.164,-2.6988242,2.8887205,0.435825
116816.625,-2.264232,1.5765364,0.35552907
133311.77,-0.75199115,0.76005584,-0.5313513
115821.016,-0.445142,2.9361548,-0.5700742
115198.5,-3.468492,1.2176278,0.5917419
117437.62,-2.8408527,2.8928845,0.94428694
115705.625,-3.724319,2.4694116,0.8049969
132794.53,-0.26198852,2.134835,0.60203546
126194.06,-1.9812543,3.0409355,0.68100643
124979.4,-2.7459455,0.63878846,0.66677165
124141.31,-2.7678287,2.6406193,0.9886074
134598.22,-3.4569802,3.1243286,0.5750735
121056.74,0.6273701,0.51981205,-0.6619662
122207.305,-1.6788796,2.952503,0.76612926
129690.016,-2.3307867,1.9551566,0.923702
116981.94,-0.020234585,2.6742017,0.53266495
123079.74,-0.29896623,1.3620821,-0.7059112
116941.08,-2.7865775,1.7633288,0.77469677
115421.86,-2.157228,2.876368,0.37948194
122955.0,-1.3017743,2.6303504,-0.7814122
124072.805,-2.779425,1.7660466,0.8238757
121405.6,-1.4340687,2.8685691,-0.4873066
130246.72,-1.8088484,3.0161486,-1.0097612
128725.266,-1.216854,2.5311482,1.3019329
122053.47,-2.8909872,0.25310785,-0.44835252
121137.086,-2.7770588,1.3254267,-0.69949806
120604.63,-1.6937004,0.9612992,-0.51401216
121450.78,-2.302779,2.5844662,-0.26979163
115814.805,-3.0961938,1.7427498,-0.43542543
119824.09,-3.2581825,2.5709493,0.78498316
118063.36,5.5293756,1.4521226,0.7518758
116562.2,-1.360943,2.953172,0.4232662
124127.96,-1.2988389,1.6606355,0.7809383
133758.0,-0.95579064,3.1195884,0.5335375
121294.31,-1.0660812,3.126168,-0.46628374
118192.625,-0.7253656,0.32084087,-0.5708722
128334.81,-1.6565133,2.769993,0.5533185
122515.9,-3.060088,2.5435078,-0.6935164
116389.43,-0.45410237,2.7809012,0.64035124
115115.18,-3.127749,2.6267831,-0.60309064
122619.57,-2.8149638,2.1437879,0.56658673
123013.41,-1.1401398,1.8834937,0.7853828
119851.5,-1.9326684,1.8396256,-0.41885617
116081.05,-3.2188327,1.1670547,0.7761804
126506.7,-2.1295555,2.0098042,0.41165805
122607.92,-0.35589945,2.247893,-0.69973576
124858.25,-0.25437096,0.19261412,-0.6388145
116128.44,3.8996873,3.1298747,0.38753015
115221.016,-0.47801128,3.0603209,0.49658203
124229.26,-2.6987677,2.8623712,0.4517619
121628.89,-3.3460982,0.6736463,0.61874634
121675.234,-3.3049097,0.1029316,-0.6195541
123165.58,-2.712982,0.88014627,0.9147862
118770.54,-1.5825138,2.2906132,0.44535077
123878.016,-2.9454813,2.049832,-0.6782091
115703.29,0.022674467,1.1252611,-0.64207995
115439.04,-1.9734812,2.955557,-0.35129213
123142.11,-1.6316718,1.4783738,-0.67886084
122701.984,-1.4981109,3.1128402,0.34286404
119738.39,-2.4496305,2.6168864,-0.79096013
125114.51,-1.6064733,2.4300683,0.5999543
134860.8,-1.005405,3.0935206,0.3518597
130461.33,-3.319588,0.67528796,0.60129285
126413.93,1.0410507,2.6047323,-0.544955
124904.13,-0.89175373,2.5890088,-0.80367094
123411.664,0.8440814,3.0692668,0.63668966
131569.52,-1.2618753,2.8087983,0.54454124
123941.51,-1.5964553,0.2908175,0.761561
124629.69,-3.345128,0.074279435,0.59228474
116829.87,-2.5194633,2.4055202,-0.59203696
126507.77,0.8797638,0.14019765,-0.4689086
118565.04,0.93430233,2.372036,0.6680483
133592.16,-3.2482738,1.8789024,0.64666754
120111.02,-2.312432,2.8409507,0.6431837
133776.23,-2.1897626,2.890446,-0.5027408
123037.914,-2.1892977,3.068644,0.64350957
123585.516,-2.340516,1.4679562,0.6543815
127199.08,-1.5907668,2.3494966,-0.24392244
115494.44,1.0531248,0.15485895,-0.32734603
120954.086,-3.4912043,2.9446826,0.7180972
115766.14,-2.8386161,1.2369734,0.692214
128030.08,-2.937356,2.9192138,0.77162915
132874.23,-3.4768105,0.6180417,0.49836564
134802.38,-3.6431732,2.7972174,-0.5747931
119704.44,-4.088272,1.9565083,0.62997556
126018.414,-2.2607882,2.7298305,-0.45995244
122180.8,-0.96759784,2.6077383,0.6438882
116540.375,-4.005933,3.0851145,0.44544524
125993.0,0.23038709,2.1325305,-0.7684811
123264.4,-2.9373374,2.425245,0.7718924
118792.76,-1.2305403,2.3082395,-0.82416815
132041.16,-3.9272807,1.3112246,-0.52341425
122063.54,-1.364449,2.0365086,-0.73481417
127865.23,-0.8845581,0.2431416,-0.62264913
126289.97,-0.63242453,0.53620315,-0.5398559
116596.7,-3.4200373,3.1234972,0.53862137
118739.15,0.24564938,1.7816312,0.79163563
128456.055,-3.3445296,0.9962482,-0.74836785
118941.8,-1.8216823,1.4837366,-0.7892995
127285.27,-0.72778434,2.1894374,-0.64884305
126563.64,-2.1282532,0.4052593,0.44125056
128063.61,-0.7698582,2.3741264,-0.5084976
