HiggsM,DNN_score,DPhi_jj,OO1
124999.266,-2.07342,0.7484209,-0.2946542
126459.51,-3.1787686,2.4264193,0.25228953
125667.125,-0.4099926,0.924678,-0.21171372
130096.0,-0.7471367,2.1384733,-0.060502104
119465.44,-3.9070578,0.76196337,0.037855126
126085.8,-0.61306745,2.7588549,0.16154307
131439.19,-2.3728504,3.0634503,-0.27017665
115062.95,-0.87956274,3.020541,0.04615606
115234.91,-3.4073684,2.563818,-0.34205768
117863.98,6.318046,1.2936181,-0.28006202
115821.21,-3.2153652,2.9319308,0.054380108
127904.695,-2.6854117,2.7330177,0.6608166
117541.13,-0.23224698,2.643045,0.37904862
119400.55,-0.73920745,2.558102,-0.116620116
134514.12,-1.278161,2.3720713,-0.232947
134097.5,-2.038962,2.9986243,0.093774974
123416.89,-2.4707327,0.40792078,-0.012350081
128229.69,-2.0667582,2.765857,-0.17435594
121072.06,-1.57909,2.8318985,0.0713044
130090.5,0.34546524,3.1071887,-0.018682761
117012.914,-0.8929811,2.9700143,0.0577546
120372.66,-2.0575655,2.9105542,-0.010853851
128572.08,-3.8715863,0.60041857,0.067692116
130057.54,-3.1057096,2.8902059,0.16778249
115930.445,-1.8519361,2.7299013,-0.17714934
125222.23,-0.6040988,0.50056463,-0.2331872
129789.586,-2.4541717,0.48735315,0.2718922
132394.98,-0.013308836,1.292882,-0.25149804
123304.25,-3.5530868,3.0514681,-0.019155975
127655.086,-1.61693,2.3462675,-0.17514145
131891.5,-0.34766048,2.3127503,0.41876113
134617.2,-2.1206167,2.141655,-0.014487297
127583.86,0.14453465,0.85694766,0.024576494
125960.086,-3.6685855,0.045892544,0.14838484
118169.93,-0.56620467,1.0218294,0.27305555
120658.375,1.409973,1.1827426,0.014000672
116558.2,-3.3804402,1.9589689,-0.0748711
130876.06,-2.984082,1.7241787,-0.13518755
115351.18,-2.444904,3.0095515,0.027079647
123366.15,-0.06423908,3.074857,0.28746957
129058.99,-3.6724665,2.7433817,-0.17319377
134675.03,-1.3066224,2.1021543,-0.20421349
120012.96,1.5110152,2.0589612,0.0630738
132083.19,-0.15432332,1.8349074,0.32908568
124112.72,-1.5414196,3.0983434,-0.03096162
122214.95,-1.3541478,3.095761,0.034962792
132074.4,-1.5908666,2.8331313,-0.1684342
126215.34,-2.2935178,2.9751656,-1.8706907
133319.72,-0.7264328,2.2484167,-0.18016683
118166.086,-0.3094512,2.512576,0.68089193
128427.89,0.65453416,1.0050652,0.033685587
117239.61,-2.2843804,1.1092511,0.10334536
134034.55,-3.0066679,2.5350995,0.0113747455
115709.71,-0.6882638,1.896418,0.11782968
134838.33,-1.812939,2.9900053,0.06709434
120455.805,-1.9110452,0.38328165,-0.017782817
123137.3,-1.8696774,2.6153286,0.10549271
122318.45,-2.8172646,2.5871527,-0.040241465
129430.38,-2.5182486,0.7070703,0.09411707
131958.56,-3.240474,2.2524831,-0.047286052
133520.81,-0.86244,2.3335884,-1.6478784
129312.22,-2.649706,2.0074773,-0.050080944
128939.33,0.75502044,1.4666196,0.01656998
117203.54,-2.339837,2.4758286,0.031772465
122355.72,2.2461336,2.0043318,-0.2707333
119431.14,2.6290505,2.2070165,0.352542
121010.02,-2.486705,3.0522091,0.029912978
124275.27,-2.2947404,2.3375542,0.04971113
119440.03,-3.1017113,1.960933,0.04981245
133557.6,-2.7946434,2.2589169,0.111520536
131699.36,-2.8775885,2.4479878,-0.14049096
119641.77,-1.5237782,2.82437,0.26110002
125341.95,-1.9562225,3.0642743,-0.055471066
115162.164,0.68278843,3.067478,0.032832727
122044.33,-3.1391199,3.0684164,-0.047288734
122626.36,-3.014285,1.516381,0.04035828
123734.91,-2.1229277,0.8150098,-0.028198617
120691.56,-2.9078357,2.5919206,0.15268967
117891.37,-1.8038472,2.8292425,-0.013868065
124384.11,-1.33316,0.76037544,0.18955992
129688.21,-2.0030544,2.203669,-0.39315656
131912.28,-1.9776679,3.1220691,0.08332073
120993.5,-2.5821462,0.8323474,-0.07028139
127197.97,0.6266139,1.4814141,0.40671858
119766.82,-2.8375406,1.9458417,0.7643465
123790.3,-2.161173,1.354184,0.36787918
120219.92,-2.8164806,2.3054008,0.11624971
118065.18,-3.542873,0.11912057,-0.14272532
115391.81,-1.9665571,0.19513233,-0.014741188
131015.14,-1.3107218,1.015634,-0.5895489
115817.46,-0.7971095,3.0575054,-0.001652081
133983.62,-1.6459193,2.879046,-0.12100957
126381.56,-0.05646655,3.1319578,-0.028971912
133924.86,-3.1341753,2.591308,0.13516997
134957.31,1.6664927,2.784775,0.03276538
124785.234,-2.3109667,2.6822321,0.10557614
120068.445,-2.670889,2.7125788,0.30940554
130116.8,-1.3353157,2.1794064,2.5052722
123088.5,0.48801303,1.5426204,0.11677001
117724.75,-3.3170056,3.071049,0.024759462
128526.93,-0.09012007,2.5612638,2.2000127
125563.33,-2.1552777,3.0558462,-0.04299553
119666.36,-0.14985536,1.6695412,-0.08247353
116794.32,-0.42963642,2.9775255,-0.0017382015
123948.57,1.9236494,0.28434426,0.09497589
133888.48,-0.73319554,3.0597167,0.06554954
122368.414,-1.2031608,2.892154,0.12102358
131701.34,-1.4777172,2.8161128,0.06282825
119940.63,1.187097,2.5381882,-0.12790307
122537.78,0.15021698,2.8540838,-0.0054768394
124897.234,-1.9750776,2.6545117,1.9077463
124948.05,0.012174366,1.6614368,0.19897296
121270.29,-0.42213735,3.0166183,-0.11241095
123508.44,-0.84837484,1.5848473,-0.23001862
127998.1,-0.5687064,0.21956052,-0.10156038
121759.31,-0.5171142,1.9216691,0.11648811
119185.79,-2.4160454,1.6250426,-1.6306082
134685.83,-2.1202793,2.5967214,-0.10511395
115211.76,1.368132,1.68978,-0.25385967
123598.414,-3.342539,2.9173126,-0.08980449
116016.52,-2.997398,0.39340928,-0.009367753
126505.45,-3.4580698,3.0715754,-0.034137644
129913.01,-3.8485303,3.1089258,0.018374635
115649.195,-1.8247442,1.1714159,0.43396363
126046.5,-2.5703073,2.3210773,0.2567344
129392.625,-0.77726144,1.8288829,0.29081187
115556.164,-1.3181884,0.15458527,-0.091728345
115569.375,-2.200575,0.9088543,-0.19132762
129371.09,-0.6870894,0.5821936,0.05985665
117919.64,-2.945134,1.916256,1.4845084
123396.945,1.0931503,2.7488368,0.096499234
125362.43,-2.0120082,3.0486782,-0.13070303
122776.39,-3.4200687,2.7799392,-0.59699726
119179.52,-1.7543913,0.21203846,-0.07146711
116565.66,-2.2631285,2.9043524,0.1344977
127809.164,1.8339409,2.2552743,-0.17381121
116276.76,-2.21702,2.1315475,-0.512537
129979.49,-2.1360762,3.05739,-0.10367703
