HiggsM,DNN_score,DPhi_jj,OO1
133568.98,-0.72868633,1.066022,0.50901854
120745.484,0.15820329,0.9628304,0.764697
125156.72,-3.1330786,2.6901507,-0.3886905
124986.39,1.166923,2.4483814,0.4001622
117646.28,-2.127285,3.0151255,0.33823922
132284.64,-2.073453,2.1363056,-0.977194
127033.78,-3.1495037,0.59195334,-0.58020884
130464.41,-3.3529859,1.5289067,-0.73325354
115015.0,-0.5248634,2.7688906,0.6719876
117436.17,-0.51225376,1.5245644,-0.88716274
134638.2,-2.7226412,2.2596045,-0.6132763
116958.64,-1.321212,2.4500568,-0.6010559
124439.31,-0.62165326,2.5727005,0.6035456
121428.4,-0.8392034,0.2694049,-0.25235677
123217.625,-1.5909194,1.4593213,0.8656662
128099.52,-2.0763166,2.8616676,-0.47621664
122749.07,-1.8408061,2.7983112,0.43142137
118294.36,-2.2614322,3.053891,0.40081888
127140.375,1.6959405,1.16819,-0.6670044
117531.1,-0.2384729,2.131521,-0.7103993
118415.69,-1.1334332,1.7641242,0.6751281
134163.42,-2.2376938,2.9224188,0.5122883
117799.76,-3.2829633,1.0501825,0.043724604
131530.17,-2.4043887,1.1487378,0.5891703
130539.3,-1.0172707,1.4900945,0.643496
129957.81,-0.92996025,1.6803999,-0.7271641
131456.42,-2.0465474,1.1838808,0.7324145
129826.38,0.641043,1.1338049,-0.900831
134427.52,-1.8823967,0.4378023,-0.5707499
120383.08,-1.8033803,0.32983842,-0.60326266
126277.12,-3.282562,2.8191755,0.58039564
123919.4,1.4564276,1.2029588,0.548742
134906.83,0.12143084,0.98541033,0.59608173
125257.33,-2.415705,1.4456276,0.8055563
124867.484,-2.8997169,2.8746197,-0.6066046
124449.14,1.4129003,0.21481411,0.20199665
122250.57,-3.1122587,2.9842753,0.47200635
117005.05,-1.1022936,2.7253606,0.48431933
121079.01,-2.107294,0.52223814,-0.58198726
118558.67,-0.30321342,0.014194578,0.54306614
122950.45,-2.9164011,2.3894143,0.7557812
115660.055,-0.555978,1.9733227,-0.65168077
117159.78,-3.6953366,1.1558975,-1.0645723
122615.555,-3.383964,2.9597113,0.6959255
117310.5,0.5640568,2.580126,0.5490885
119362.586,1.3795943,2.9058592,0.5638224
120124.41,1.4734983,0.29282832,-0.5551573
127104.195,-1.4892645,2.3899438,-0.5024951
117156.805,-0.5669563,0.44041806,0.62494713
130859.22,-2.8095012,0.39840493,-0.7662716
115854.66,-2.1246088,2.6731365,0.6016437
122114.97,-0.58905256,2.6551256,0.3326119
134401.64,-3.0772586,0.24619065,0.50616217
131495.92,-0.52355605,2.389376,0.35321122
131819.78,-1.1306006,0.36389342,0.50560546
124608.79,-2.4849582,1.688634,0.68759525
115321.69,-0.5597258,0.68914056,-0.47739223
116242.31,-2.733234,1.3169467,-0.6176876
115417.375,-1.2749988,1.9560999,-0.7327258
123902.05,-1.8924079,2.9938548,0.5821067
129667.17,-3.5128534,0.8111545,-0.7138012
116149.63,-2.487175,0.7910051,-0.7691355
121736.734,-2.3024886,0.29660767,0.48878887
126107.38,-3.4933553,2.6993563,0.8843281
129252.9,-1.3886693,3.2398727,0.52597576
134827.53,-0.85309356,2.6861587,-0.6887631
127934.89,-2.729153,2.6736252,-0.7332113
124511.945,-3.1184554,3.1147392,-0.47948727
127682.8,-0.006870299,3.0991006,0.7234672
115902.805,-0.65301853,2.8326943,0.84421945
115570.07,0.53984445,1.9340622,0.5648894
129949.08,-0.56371987,2.9527094,-0.756287
131624.88,1.4504673,2.713579,-0.4594036
127808.91,-2.3660586,1.497428,-0.42035797
124398.164,-2.931282,2.9321294,-0.7839928
121487.445,-2.527896,2.0140014,0.6995856
124145.8,-4.235251,3.289214,-0.47207266
128844.38,-2.6828701,1.9405459,0.3060007
131023.164,-2.8400104,0.7700806,-0.72985315
116816.625,-1.4301449,1.5157876,-0.67056996
133311.77,-0.3589023,1.1926126,-0.7689531
115821.016,-3.011151,1.9148036,-0.5791022
115198.5,-1.0818293,0.9144646,-0.9200319
117437.62,-2.7102864,2.742974,0.5753521
115705.625,-1.0865126,1.7322634,-0.76912326
132794.53,0.06901999,1.8044759,-0.6801111
126194.06,-1.4604684,0.23129666,-0.8405119
124979.4,-0.9564412,2.6137738,-0.5451801
124141.31,-3.4335325,0.93958443,0.50091827
134598.22,-0.14211841,1.1425939,0.77879876
121056.74,-1.7692363,2.9562614,0.38085252
122207.305,1.0564345,3.0670462,0.49804354
129690.016,-2.5626025,1.86739,-0.55340815
116981.94,-1.9021746,1.4696608,0.66146237
123079.74,-3.303745,2.055565,0.6131784
116941.08,-0.38450193,2.2939506,0.7043962
115421.86,-4.6562057,0.85850817,-0.65352386
122955.0,-1.4414201,2.630368,-0.7052083
124072.805,-2.5501342,1.4482993,-0.8000317
121405.6,0.70336235,2.416173,0.5513712
130246.72,-0.77165633,0.66940194,-0.47340608
128725.266,2.6048448,0.6534862,-0.09447538
122053.47,-3.6916635,1.7812295,0.47858092
121137.086,0.5286155,0.055177648,0.47649997
120604.63,-2.9320016,1.553607,1.0958381
121450.78,-3.9719305,2.0560608,-0.6242731
115814.805,-2.0959935,1.9988439,-0.65035355
119824.09,-1.2428583,1.6519275,-0.61114055
118063.36,-2.1869705,1.8484168,0.5285182
116562.2,1.6264589,2.6322823,-0.5364964
124127.96,-0.40204903,3.0620506,0.501517
133758.0,-1.9464654,2.208808,-0.8188191
121294.31,-0.6866838,0.22479331,-0.5820608
118192.625,-2.3836563,2.6705308,0.1309001
128334.81,-4.076731,0.750203,-0.60155433
122515.9,-2.5792336,2.5568771,0.5423385
116389.43,-3.4699259,2.9593523,0.877699
115115.18,-0.28540218,2.836212,0.49332565
122619.57,-2.8153155,2.7912946,-0.7816845
123013.41,-1.4626575,1.7734718,0.73527336
119851.5,-0.7500518,2.7815943,0.5390825
116081.05,-2.1245058,1.0640074,0.92765146
126506.7,-0.0929288,3.1195238,-0.7437118
122607.92,-1.3882711,3.0855124,-0.5878188
124858.25,-0.96001303,3.0854144,0.26637688
116128.44,-2.40322,0.7239318,-0.41258934
115221.016,0.26744917,2.119802,0.31236422
124229.26,-2.1403656,2.6349535,0.595412
121628.89,-1.1317251,2.8931408,0.46896547
121675.234,-1.1736755,1.5130805,-0.8028203
123165.58,-0.88782233,2.7071576,-0.44245797
118770.54,-2.7765806,0.9014447,-0.83266354
123878.016,-1.9774281,3.019875,-0.6548638
115703.29,-0.65894055,1.8199835,-0.79689103
115439.04,-1.2426268,1.9617845,0.8446061
123142.11,-1.2860512,2.6963954,0.43734568
122701.984,-2.656559,2.5684764,-0.6377657
119738.39,-2.885946,3.2761297,-0.5070373
125114.51,0.22036284,0.15849695,-0.7932098
134860.8,-0.4267315,0.832962,0.8699187
130461.33,-2.5503292,1.3000486,0.543435
126413.93,-4.6202846,0.60606104,-0.4910465
124904.13,-3.9958584,0.9190415,0.7060076
123411.664,-2.3771555,2.669335,0.47266287
131569.52,0.40713286,1.6262016,-0.73385036
123941.51,-2.9180512,2.7200208,0.629065
124629.69,-2.4394705,3.0675848,-0.4641716
116829.87,-3.33098,0.055885963,-0.5096442
126507.77,-0.32503286,1.8808233,0.73087525
118565.04,0.21494156,2.7933862,-0.7439367
133592.16,-2.264532,2.763954,-0.7918156
120111.02,0.123056084,2.0656424,-0.45501417
133776.23,-0.1947228,1.5733744,-0.94550717
123037.914,-1.2560669,3.000187,0.088473246
123585.516,-1.9051881,1.978473,-0.72688013
127199.08,-2.0586052,2.8393626,0.533055
115494.44,-1.4490318,0.0793367,-0.18894142
120954.086,-3.974144,1.3917943,-0.40895864
115766.14,-2.8161433,0.6026632,0.74371105
128030.08,-0.93931603,1.5399257,-0.9303856
132874.23,-2.8320389,2.2336998,-0.9824352
134802.38,-4.245271,1.183846,0.773252
119704.44,-2.6731021,0.3441459,0.78866357
126018.414,-0.16726272,0.93754363,-0.68499476
122180.8,-3.0117383,2.3843694,0.7483886
116540.375,0.9398383,2.6617734,0.2988304
125993.0,-0.5179898,2.1252635,0.713579
123264.4,-2.0710926,2.1823342,-0.6225149
118792.76,-1.5351926,2.7045765,0.2139656
132041.16,-1.8521721,2.5658488,-0.5083118
122063.54,-0.52101266,2.430963,-0.80145377
127865.23,-1.5721083,1.8066956,-0.59531665
126289.97,-2.7135465,3.129066,-0.77325505
116596.7,-2.130871,2.6959476,-0.6413366
118739.15,0.28623956,0.7359706,-0.88873315
128456.055,-1.8143145,0.4636287,0.45389456
118941.8,-2.1521842,2.333946,0.3362866
127285.27,1.6388037,1.804757,-0.6004419
126563.64,-2.6710773,2.661046,0.3008484
128063.61,-2.9333003,2.975253,-0.7510841
116900.9,-2.3715293,2.2714882,-0.5894832
131287.45,-3.2221458,1.368976,0.20490934
134048.2,0.97400606,1.4900998,-0.66563815
118169.68,-2.8442566,1.5857238,-0.5691111
115750.49,-0.45224673,2.9098363,-0.38750723
122126.39,-2.3061638,2.1050456,0.578919
130580.75,0.85362417,0.5668354,0.20561238
128482.01,-1.3297467,2.9827101,-1.041172
134154.69,-4.1125417,2.5187955,0.46502838
115520.125,-0.5998228,2.9968455,0.4691947
115011.14,-1.1357132,3.0321596,0.3907521
118042.57,-1.8874575,0.20977423,0.66681284
117713.53,-2.5012732,2.301702,-0.29370636
131665.56,-1.9873948,1.5086586,-0.8873702
122506.02,0.94430524,0.5299242,0.28877893
129092.305,-1.788036,2.7266355,0.4457415
120837.445,-0.7299227,1.4135554,0.64494896
124892.0,-3.0692697,0.48138666,0.39284375
115635.08,2.711241,2.8298242,-0.2944609
126671.57,-0.06655738,0.23583694,-0.6378981
129485.86,-2.399857,2.9543903,0.49749094
130685.26,0.017463624,2.4388626,-0.65488034
125968.2,-1.1085083,1.7982265,-0.7471381
120426.41,0.017629972,-0.25711593,-0.5268929
123399.02,0.048520327,0.61622036,0.7326437
121914.95,-0.47696638,2.4336896,0.42279205
116273.3,-1.1512675,3.0313153,-0.8147039
131367.66,-0.6043183,1.1431577,-0.83107865
118084.484,-2.651988,1.7408831,-0.5785036
128036.586,-2.0154624,0.18541463,-0.4432193
130927.06,1.932123,2.6967592,-0.37679073
131063.83,-1.8436732,3.1160853,-0.6567981
123489.96,0.19667709,3.0174677,-0.66997635
119535.26,-2.2491422,3.0456924,0.4875222
126013.94,-3.022898,3.0921562,0.50160724
116366.664,-1.2288944,0.9260956,-0.4851163
130496.875,1.3479167,2.3249297,0.66391724
130899.29,-2.082484,0.5037985,0.53416586
123362.555,-1.3432585,2.2567523,0.5334837
128144.51,-2.9138448,2.8298225,0.8573198
120214.26,-0.905284,1.0126017,-0.4025107
119796.74,-4.0097413,-0.025409082,-0.32953787
120829.1,-3.0442934,2.0944388,-0.6222458
132986.55,0.5257011,1.4981877,-1.0835172
131405.34,-1.8668782,1.1384698,-0.6748311
123532.945,0.38583624,0.26182464,-0.09385211
118676.85,0.24355197,2.5427902,0.41505507
127779.42,-2.3265014,1.5148959,-0.7133035
116897.07,1.105196,2.5039313,0.3792657
130221.09,-1.6131972,2.3248906,0.7940269
128073.09,-2.0415673,2.024952,-0.95757765
126799.19,-2.1667316,2.7386796,0.33893958
122002.45,-0.3456031,0.50032544,-0.38077596
117573.77,-0.70067555,0.9373143,-1.0589098
123643.516,-2.8481467,2.9557006,0.60809845
119144.41,-3.2647274,0.56504095,-0.5425849
122848.664,-2.500699,2.8857589,-0.5992315
130053.35,-2.7823062,0.3669324,-0.4730387
125369.195,-3.4825683,3.1055121,-0.7691037
129871.53,1.6185782,0.3057206,0.54223406
116954.875,2.5785668,1.7217747,-0.935529
132369.7,-1.6329361,0.8591765,0.40100765
116851.73,-2.2183359,1.6895792,-0.5959927
134534.05,-2.7489257,1.543493,-0.55238783
116941.0,-0.61155945,2.7510347,0.662185
118703.625,0.3676496,2.039946,0.50100684
124081.484,-3.417457,2.666279,0.7786811
129127.55,0.47474918,2.900287,-0.61908466
127565.12,-1.1717541,2.97919,0.47791106
118497.99,-0.14056653,3.0330493,0.4921481
121174.17,0.6723886,3.2609367,-0.4238097
121805.52,-3.4578664,1.9977134,-0.5308918
122194.3,-2.4793005,2.576751,-0.84508497
123011.45,-0.5533471,2.3200805,0.7233564
129625.01,-1.5131596,2.928706,0.15184759
129917.625,-1.4794675,1.8058809,0.122914806
128428.02,-2.981422,2.8155222,0.40304494
122101.516,-1.0499202,2.7698493,-0.51476496
134306.17,-2.1721907,1.2545182,-0.6496829
115309.26,-2.4754508,2.9408321,0.3592742
116132.63,-3.4636917,0.67243016,-0.2591197
116830.79,-1.5765005,2.2091718,0.70903206
117195.72,-1.5306244,3.05699,-0.5854198
118122.91,-0.38966146,2.873492,-0.48556256
122514.47,-0.0075260457,2.7625685,0.4992603
116103.63,-3.4720397,2.6698089,0.6121905
118239.92,-2.9389727,0.9117326,-0.5151817
118920.69,-1.5522689,1.4446605,0.7593547
131570.5,-1.5562123,1.4594517,0.57652503
132322.4,-0.7304927,1.0483927,-0.47883707
128708.9,-2.9170194,2.3004675,0.7430879
127433.99,-2.5682478,3.0791447,0.64167744
125173.83,-2.9361827,1.0660114,-0.8289015
131131.4,-3.2881334,0.15349433,-0.5717637
119276.414,-0.80182517,2.5736306,0.4586798
125506.61,-3.6539161,1.9328485,-0.7316035
128148.19,-2.534072,3.0440876,0.6470417
129648.805,3.2089999,3.0254662,-0.8029787
127548.875,-0.2501682,1.9482839,0.59680045
128326.52,-2.6922517,2.7877214,0.6087343
121149.484,-1.5884393,1.3662808,-0.80357337
134308.97,-2.8528469,1.8107778,1.1999108
130248.65,1.7028464,1.7445213,0.6120885
118579.27,0.6595423,2.1860757,-0.53222716
127298.39,-2.5486379,2.2480953,-0.5299802
127922.21,-1.2441363,2.924755,0.50994617
119268.37,-2.8376844,1.7256258,0.77684134
131365.34,-1.2887936,3.1779928,0.46872324
134819.34,-2.06523,3.0439942,-0.058291182
125754.89,-0.08280915,2.9215245,-0.57791626
128750.18,1.7706019,2.9129193,0.61579514
115695.72,-2.4562964,2.9031138,-0.6943355
127971.75,-0.98172915,0.885872,0.7911649
119016.4,0.21138386,2.6452925,-0.6212879
117113.086,-1.1312008,3.1160343,-0.7055813
119166.49,-3.2733777,0.96972597,0.47283682
132745.86,-1.0781239,2.0835655,-0.8322919
122622.82,-1.116099,2.1243181,0.8523914
117728.28,-2.0805364,3.0018287,0.406712
118811.0,-3.6508188,1.1843228,0.013731033
121362.2,-0.9157959,2.861977,-0.8739871
122115.59,-1.2014574,3.0448084,-0.5937965
118405.46,-0.8047929,2.1301074,0.94412917
125019.41,0.5011106,2.1143296,-0.66552293
133919.56,-2.9089172,1.3839535,1.0749015
134971.86,-0.69826645,0.36032993,-0.7715072
118387.266,-3.0278747,2.8874133,0.6464623
115965.12,-1.9835223,3.0584497,0.34194922
127580.65,-4.3997874,0.63355035,-0.56686324
115443.32,0.5597938,0.14003474,-0.5178274
126941.78,1.294981,2.6890051,0.4699525
125870.445,-3.1287076,0.13068913,0.32999063
122164.52,-6.6570754,2.6461525,0.92614824
132622.69,0.6851392,3.113783,0.40887085
117559.66,-0.9747019,2.0230799,-0.93208855
116618.12,-3.5557663,3.046533,0.4562181
122598.08,0.27931944,1.6611881,0.6432744
127178.49,-4.602928,2.3322752,0.24741286
125265.44,1.8603241,1.456831,-0.7036086
134500.52,0.3275726,3.0346885,-0.42261842
117769.77,-1.0631912,1.6196009,0.40465012
126241.79,-1.3964841,2.6158304,0.7036142
125281.23,-1.4980079,2.7469485,0.6944859
125738.92,-3.228055,0.6658347,0.772588
128076.36,-1.8582877,2.7585804,-0.39522535
119365.805,-4.1062603,2.5625196,0.2899825
121341.8,-3.3205683,3.1131103,-0.20009413
129094.78,-2.3399746,2.2561595,-0.7021923
115843.36,0.3367572,2.8637886,0.4888511
131534.77,-1.4469533,2.3227148,-0.49418992
118092.97,-2.5427668,0.24990304,-0.5531373
122597.266,-0.2769956,1.9676455,0.6208576
124498.0,-1.6042823,0.29171053,-0.59050155
121899.73,0.19791315,0.51952386,0.5562143
133612.48,-2.243249,2.8339539,0.3184249
128893.9,-2.0092452,2.9246626,0.7225941
132268.5,-1.615669,0.22341125,-0.73484063
124524.75,0.4212576,2.0787153,0.5581052
123601.34,-4.776038,0.99430203,-0.7172484
125320.83,-3.3735096,0.7028288,0.60176396
128681.195,1.2405058,1.2924162,0.7958346
133785.28,-0.97339314,0.43095514,0.644229
121827.65,-0.2891104,1.943114,-0.5856892
123740.836,-1.1315266,2.6791844,-0.86433154
121462.67,-3.46001,2.0155041,-0.6696112
127780.234,-2.6999779,2.9257956,0.55504113
132565.77,-2.8501923,1.817147,-0.523381
117320.36,-3.0830717,2.529685,0.8852563
128171.555,-1.9806299,2.123185,1.0337368
130468.04,-0.87330806,0.25399458,0.26363727
134833.31,-3.3452663,2.7976966,-0.76728684
122707.55,-3.6950755,2.6238246,-0.74594104
120293.96,-3.1406407,2.2771535,0.6044323
125024.41,-3.4442217,3.1530433,-0.46035638
125237.74,0.81976706,1.9529821,-0.73094344
131461.28,-2.6780846,1.5411878,-0.9273994
125820.836,1.0971204,0.91721636,-0.6383291
121947.56,-2.877586,3.0557966,0.38193437
115784.016,-1.2027715,2.3038306,-0.6079269
126031.43,-4.056746,1.5553912,0.7008535
131968.14,-1.195039,-0.22137484,0.5051406
131383.98,-2.1768322,2.9316747,0.43286437
127709.56,-1.6569614,0.8395919,0.7233766
131779.88,-3.5112813,0.17234404,0.5884294
134639.48,0.46425036,0.5880626,0.5063809
132116.06,-2.526132,2.8768332,-0.46057546
118978.54,-1.3482592,2.6588106,-0.35399723
119190.23,0.82271934,3.085955,0.45757765
119259.89,1.3912429,2.5938892,-0.48222125
134174.66,-2.4808638,3.0646744,0.44981232
132710.83,-2.3190894,1.169318,-0.71594274
127812.14,1.3193676,2.052546,-0.7826834
126307.41,-1.6682159,1.153237,-0.7031226
117011.97,-3.5218892,0.3870966,0.58136195
126461.62,-3.6678622,2.8139834,-0.48274043
133231.94,-1.7456907,1.3055844,0.787114
122533.52,-1.0154175,0.76981384,0.82574475
122671.375,-1.9104234,1.418648,-0.9628491
119364.09,-3.0768692,2.3016891,0.6874416
115795.516,-2.6956975,2.9727535,-0.6190596
118329.92,2.047261,-0.0047747493,-0.60015297
127900.41,-0.26883045,2.6146138,0.5037873
116567.15,-1.7209666,2.7207375,-0.548226
115011.87,-1.9635447,1.8142169,0.4244518
123922.99,-4.0564733,1.1637559,-0.5396138
133635.48,-2.9624233,0.85809624,-0.54870725
117299.14,-0.78652805,2.9056191,0.5339288
128169.72,-1.5240425,2.4302268,-0.69824225
127636.35,-1.9315743,0.83242255,-0.55643296
121807.73,-0.8381323,0.6290731,-0.69857335
131698.44,-3.2589824,1.1062359,0.4883347
123640.17,-1.1168078,3.2208047,-0.38001543
129286.266,-3.0074139,2.203853,0.01980383
127089.51,1.0727593,2.8615258,-0.52460766
121815.45,-2.4743798,1.7882549,-0.4520767
130999.91,-0.6262404,-0.10547433,0.6056476
118302.33,0.79696953,2.501505,0.8501924
124078.38,-0.19941533,2.3197482,0.54683536
116224.76,0.18711124,2.4764066,-0.7737485
124801.43,0.76915884,2.3770454,-0.68468875
116938.51,-0.95281637,2.4569342,0.5491418
132562.14,-2.4089427,2.6494448,0.41097605
115273.336,-0.814823,2.8599842,0.58041435
134810.56,-1.6482775,3.0610964,0.90052474
131816.3,-1.086257,2.8700714,0.31793398
131431.56,-2.5343645,2.9583573,0.36261934
122350.58,-1.7753161,1.1588904,-0.9135176
115137.734,-1.5437796,1.1880286,1.2960712
126700.83,1.5778247,2.7583284,-1.1281403
120552.52,-1.7342802,0.3043776,0.48535657
122918.11,-2.9747016,2.2703598,0.9298561
131105.8,-2.3868568,2.992972,0.56301075
124325.08,-1.0922886,1.4968417,0.95545316
130340.086,-1.920824,0.80183846,0.46224278
131085.56,-0.7186583,3.0168834,-0.40087327
122644.87,-3.6125731,2.9005816,-0.22020987
132527.0,-2.0972393,1.9746442,0.7292378
132370.95,1.8379613,2.322405,0.60291374
116283.25,-2.6728103,2.7305753,-0.8175559
130834.66,-3.6345572,-0.11593985,-0.26007307
121498.14,-0.7993723,3.2289438,-0.5519184
121497.25,-2.0361178,1.0430131,-0.82188225
133869.33,-3.7445009,0.81093025,-0.52525955
124872.95,-1.2392124,1.3877817,-0.7015645
121785.29,1.2664388,2.8146281,0.6534136
124792.71,-2.7716858,2.7933717,0.51131696
115934.945,-2.5176868,2.762878,0.54878104
115784.06,-3.215766,2.0576918,0.76169324
122811.99,-4.2446823,1.1434561,-0.6184
128362.22,-2.8333788,1.6876352,-0.6811331
133553.83,-0.8254041,2.524774,0.6594386
127211.32,-1.7171503,2.3442876,0.6352809
130463.87,-2.9469206,0.59015393,-0.6463084
122504.766,0.67181623,2.75992,-0.46042627
115814.89,-1.0673674,1.796495,-0.72880733
117434.81,-0.918205,0.8189376,0.5161945
123377.65,-2.3643155,0.4125659,0.53739494
125480.09,1.2783903,2.5786557,0.50759465
127313.88,-0.6913212,2.5958617,-0.66474944
119996.125,1.0432465,2.97667,-0.7178661
119870.984,-1.7972426,2.4137824,-0.8236269
133906.27,-2.007749,3.1267402,-0.37728244
133244.39,-0.99210536,2.7700431,-0.41293222
125923.23,-1.5549049,0.14634724,0.6860947
128664.34,-2.5524776,1.7821956,0.8144473
128905.805,-1.9803162,1.2894906,-0.95439917
125409.74,-3.0691962,2.7187216,-0.7570836
128051.1,-3.255555,2.5507836,-0.7349104
131770.28,-1.924152,2.8172615,-0.66832817
124055.38,-3.5960698,2.3476865,-0.19942228
117952.15,-1.7129378,0.5479448,-0.46071255
130715.26,-1.0523787,2.0006173,-0.8195582
128598.78,-2.8594494,1.5349337,0.9561896
115367.92,1.9531791,1.6396526,-0.9653445
116371.53,0.21756455,0.9447194,-0.7616865
116042.6,-4.1376953,2.5670576,0.6190398
128634.11,-1.3101784,2.0953212,-0.6717079
115793.76,-1.5302052,2.5796554,0.5558602
121663.54,-1.7631087,0.88908744,0.7941563
120455.6,-3.4624279,3.0064993,-0.44655675
130986.164,-2.0677214,2.9474907,0.34469703
122465.375,-2.8426335,2.469746,0.6163759
133495.28,-0.9802165,2.0197887,0.89821726
128180.63,-0.8582111,1.7197008,-0.92479366
121389.04,-2.676056,1.921309,0.35357058
119690.07,-3.5443382,1.8409971,-0.8558951
129103.41,-5.450493,1.7250198,0.75359845
129633.266,-0.7202092,2.6318896,0.69158816
130995.47,0.17084087,3.028398,0.3988178
116727.32,-0.75232106,2.954912,0.6534159
116609.03,-3.4948862,0.7294811,0.60374725
117780.445,-0.7895127,3.036224,0.43186292
115934.67,-1.9855629,3.0253646,0.3742899
119751.04,-2.3886206,1.194328,0.5176525
131174.45,-0.8976713,2.847312,0.6461486
117622.016,-2.932658,2.7281797,-0.62503994
119339.99,-1.4070684,0.5989581,-0.72646093
124177.195,-2.1713433,2.8356917,-0.54580194
126498.766,2.8554137,1.5832951,-0.5093734
131033.555,-3.1865664,2.870312,-0.56858224
122087.74,-0.31019863,2.9154627,-0.5203283
120490.59,-5.850473,3.4148014,0.9040415
131404.25,-2.2246292,2.6342492,0.6650832
123338.414,3.389882,0.4723149,0.9271646
122484.664,-2.5010893,2.538708,0.10355434
133331.36,-1.5807891,2.9691222,0.6220517
119703.39,-2.9081473,2.755353,-0.75840867
132169.05,-1.8966496,0.68462104,-1.3863038
118105.766,-2.9935458,0.5385018,-0.44196597
118872.8,-2.788589,2.4667985,0.74062085
119059.38,-0.060302988,2.9435015,-0.71985686
132741.47,-1.2457895,1.4896437,-0.7331867
125352.11,-2.2787108,2.8850272,-0.4160885
115020.52,-1.8183805,2.4474888,0.7285747
130457.8,-1.5016431,2.7202451,0.5263542
122516.555,-0.44577637,2.9985056,-0.38124087
116443.98,-3.2966237,2.5938795,0.046134077
122182.96,-1.5601282,2.7975266,0.2295353
133834.94,-1.966952,0.81940556,-0.67420775
115471.79,-1.8008124,1.6047652,-0.20335959
118253.87,-2.4391353,1.8587053,-0.8186028
118516.555,-0.3256607,1.7219943,0.368808
131039.06,-1.6607388,2.640208,0.45319703
130865.18,-4.0705256,0.24650978,0.49192563
115398.87,-2.669174,2.546812,-0.80504256
127550.27,-3.2366018,2.9251359,-0.120399475
129778.3,-0.75322825,2.1066964,-0.5850076
116843.14,-3.8731418,2.6899128,-0.78665036
117963.5,-1.7447222,0.24242535,-0.0054792585
126934.93,0.6010948,1.9701859,-0.78793675
120665.125,-2.1190164,1.3736906,0.6723933
126354.96,-1.8667704,1.6221105,0.62802523
131308.17,-2.122796,0.6677193,-0.48926002
123934.58,-4.003706,2.8653564,0.37015456
116379.484,-3.299692,2.712999,0.475757
119147.45,-1.1889024,2.7083766,0.73514503
122459.34,1.7088611,0.17407367,-0.5421272
131135.53,-3.3933253,2.683565,0.3855688
124186.43,-2.0288522,2.8833907,-0.40360528
129633.555,-3.9128675,2.7598855,-0.22565503
128314.13,-3.3097625,2.9004683,-0.5617878
119607.49,-1.8540684,2.449015,0.5472653
132795.77,-2.224597,2.6406791,0.06550542
121283.375,-2.0606263,2.945535,-0.41831055
125837.4,-2.6435041,2.6165771,-0.47785997
115661.97,-3.3445706,3.0875714,0.11086476
130886.99,-2.4434683,2.5349839,0.6552632
124662.63,-2.6174603,2.867226,-0.4280496
120300.4,-1.7097825,2.9192665,-0.74906987
122506.94,-4.403475,2.1073487,0.8668575
115542.14,2.8177056,0.3745119,0.58309156
116858.9,-3.1300678,0.06523691,0.37378275
121323.49,-4.4056897,2.787797,-1.0056915
121153.664,-1.9800617,2.509809,-0.8148875
126700.96,-2.1990607,0.33036608,-0.4236688
125661.695,-3.3647738,0.5352005,-0.4434448
128885.04,-3.3701108,1.9421682,-0.5358875
121849.02,-1.5291821,2.7286935,-0.5786866
119162.84,-2.8764644,1.4387797,-0.57744384
130510.484,-1.6395607,2.9595747,-0.66719514
125322.23,-2.8335962,1.2909101,-0.79694664
131355.31,-1.1388634,2.2389395,-1.074123
124800.516,1.4728832,2.1401305,0.79736495
116959.9,1.2276175,2.7661765,-0.8129951
129933.46,-1.6033545,2.8378615,-0.016234016
123754.79,0.37956396,1.3588815,0.5792131
134635.0,-0.32286173,2.7611806,0.7254474
131231.77,-1.4654227,0.65541124,-0.5341236
127380.984,-2.7213755,2.6781297,-0.20291369
133106.58,0.96503085,2.518889,0.4378867
124465.62,-3.688631,2.6786885,0.84474427
134392.1,-2.893175,1.2335418,-0.7693572
132611.03,-0.2004823,2.3715408,-0.7909708
130764.484,-1.2680395,3.0148542,0.38227502
130214.234,-1.097975,1.7916305,0.629703
133544.39,-1.7234418,1.9062493,-0.7785749
