HiggsM,Frequency
115025.0,17266.0
115075.0,17330.0
115125.0,17313.0
115175.0,17202.0
115225.0,17265.0
115275.0,17329.0
115325.0,17305.0
115375.0,17201.0
115425.0,17269.0
115475.0,16901.0
115525.0,17072.0
115575.0,17210.0
115625.0,17041.0
115675.0,16948.0
115725.0,16991.0
115775.0,17147.0
115825.0,16904.0
115875.0,17136.0
115925.0,16926.0
115975.0,17072.0
116025.0,17192.0
116075.0,16887.0
116125.0,16892.0
116175.0,16669.0
116225.0,16985.0
116275.0,16793.0
116325.0,16882.0
116375.0,16656.0
116425.0,16673.0
116475.0,16562.0
116525.0,16812.0
116575.0,16925.0
116625.0,16838.0
116675.0,16708.0
116725.0,16700.0
116775.0,16670.0
116825.0,16472.0
116875.0,16487.0
116925.0,16623.0
116975.0,16620.0
117025.0,16517.0
117075.0,16501.0
117125.0,16427.0
117175.0,16540.0
117225.0,16219.0
117275.0,16429.0
117325.0,16283.0
117375.0,16600.0
117425.0,16336.0
117475.0,16356.0
117525.0,16278.0
117575.0,16225.0
117625.0,16113.0
117675.0,16471.0
117725.0,16249.0
117775.0,15963.0
117825.0,16288.0
117875.0,16360.0
117925.0,16376.0
117975.0,16208.0
118025.0,16096.0
118075.0,15947.0
118125.0,16132.0
118175.0,16329.0
118225.0,15942.0
118275.0,15984.0
118325.0,15961.0
118375.0,16030.0
118425.0,15806.0
118475.0,15850.0
118525.0,15932.0
118575.0,15631.0
118625.0,15655.0
118675.0,15986.0
118725.0,15898.0
118775.0,15851.0
118825.0,15731.0
118875.0,15906.0
118925.0,15693.0
118975.0,15561.0
119025.0,15698.0
119075.0,15844.0
119125.0,15700.0
119175.0,15610.0
119225.0,15578.0
119275.0,15748.0
119325.0,15605.0
119375.0,15780.0
119425.0,15496.0
119475.0,15674.0
119525.0,15567.0
119575.0,15436.0
119625.0,15459.0
119675.0,15549.0
119725.0,15735.0
119775.0,15450.0
119825.0,15236.0
119875.0,15491.0
119925.0,15514.0
119975.0,15524.0
120025.0,15459.0
120075.0,15386.0
120125.0,15385.0
120175.0,15594.0
120225.0,15241.0
120275.0,15214.0
120325.0,15592.0
120375.0,15270.0
120425.0,15277.0
120475.0,15336.0
120525.0,15175.0
120575.0,15045.0
120625.0,15315.0
120675.0,14930.0
120725.0,15349.0
120775.0,15153.0
120825.0,15004.0
120875.0,14990.0
120925.0,14990.0
120975.0,15036.0
121025.0,15057.0
121075.0,14889.0
121125.0,14982.0
121175.0,14878.0
121225.0,15204.0
121275.0,14825.0
121325.0,14650.0
121375.0,14926.0
121425.0,14739.0
121475.0,14824.0
121525.0,14888.0
121575.0,15028.0
121625.0,14741.0
121675.0,14726.0
121725.0,14634.0
121775.0,14646.0
121825.0,14902.0
121875.0,14783.0
121925.0,14540.0
121975.0,14504.0
122025.0,15002.0
122075.0,14719.0
122125.0,14511.0
122175.0,14757.0
122225.0,14594.0
122275.0,14702.0
122325.0,14775.0
122375.0,14548.0
122425.0,14537.0
122475.0,14463.0
122525.0,14582.0
122575.0,14318.0
122625.0,14357.0
122675.0,14352.0
122725.0,14389.0
122775.0,14420.0
122825.0,14277.0
122875.0,14219.0
122925.0,14256.0
122975.0,14206.0
123025.0,14150.0
123075.0,14359.0
123125.0,14104.0
123175.0,14327.0
123225.0,14259.0
123275.0,14286.0
123325.0,14179.0
123375.0,14185.0
123425.0,14012.0
123475.0,14250.0
123525.0,14313.0
123575.0,14224.0
123625.0,14024.0
123675.0,14016.0
123725.0,14097.0
123775.0,13897.0
123825.0,13899.0
123875.0,13998.0
123925.0,14124.0
123975.0,13916.0
124025.0,13872.0
124075.0,13802.0
124125.0,13907.0
124175.0,14032.0
124225.0,13700.0
124275.0,13942.0
124325.0,13771.0
124375.0,13976.0
124425.0,13886.0
124475.0,13590.0
124525.0,13670.0
124575.0,13627.0
124625.0,13777.0
124675.0,13790.0
124725.0,13553.0
124775.0,13294.0
124825.0,13700.0
124875.0,13706.0
124925.0,13730.0
124975.0,13543.0
125025.0,13724.0
125075.0,13643.0
125125.0,13499.0
125175.0,13466.0
125225.0,13344.0
125275.0,13546.0
125325.0,13395.0
125375.0,13478.0
125425.0,13567.0
125475.0,13772.0
125525.0,13583.0
125575.0,13436.0
125625.0,13353.0
125675.0,13298.0
125725.0,13192.0
125775.0,13421.0
125825.0,13509.0
125875.0,13164.0
125925.0,13334.0
125975.0,13403.0
126025.0,13156.0
126075.0,13430.0
126125.0,13236.0
126175.0,13163.0
126225.0,13314.0
126275.0,13279.0
126325.0,13128.0
126375.0,13212.0
126425.0,13098.0
126475.0,13217.0
126525.0,13146.0
126575.0,12963.0
126625.0,12982.0
126675.0,13162.0
126725.0,13012.0
126775.0,13316.0
126825.0,13069.0
126875.0,13075.0
126925.0,13132.0
126975.0,12867.0
127025.0,12775.0
127075.0,13117.0
127125.0,12940.0
127175.0,12997.0
127225.0,13066.0
127275.0,12718.0
127325.0,12695.0
127375.0,12818.0
127425.0,12715.0
127475.0,12876.0
127525.0,12632.0
127575.0,12681.0
127625.0,12860.0
127675.0,12654.0
127725.0,12731.0
127775.0,12751.0
127825.0,12893.0
127875.0,12726.0
127925.0,12773.0
127975.0,12797.0
128025.0,12684.0
128075.0,12640.0
128125.0,12699.0
128175.0,12538.0
128225.0,12418.0
128275.0,12627.0
128325.0,12663.0
128375.0,12495.0
128425.0,12598.0
128475.0,12726.0
128525.0,12509.0
128575.0,12346.0
128625.0,12466.0
128675.0,12519.0
128725.0,12296.0
128775.0,12771.0
128825.0,12466.0
128875.0,12413.0
128925.0,12365.0
128975.0,12362.0
129025.0,12241.0
129075.0,12428.0
129125.0,12405.0
129175.0,12378.0
129225.0,12263.0
129275.0,12452.0
129325.0,12411.0
129375.0,12223.0
129425.0,12203.0
129475.0,12056.0
129525.0,12236.0
129575.0,12316.0
129625.0,12137.0
129675.0,12282.0
129725.0,12007.0
129775.0,12155.0
129825.0,12171.0
129875.0,12305.0
129925.0,11981.0
129975.0,12204.0
130025.0,12035.0
130075.0,12219.0
130125.0,11883.0
130175.0,12146.0
130225.0,11914.0
130275.0,11935.0
130325.0,12200.0
130375.0,11941.0
130425.0,11767.0
130475.0,11965.0
130525.0,11847.0
130575.0,11922.0
130625.0,12019.0
130675.0,11842.0
130725.0,11912.0
130775.0,11795.0
130825.0,11877.0
130875.0,11700.0
130925.0,11491.0
130975.0,11808.0
131025.0,11986.0
131075.0,11854.0
131125.0,11814.0
131175.0,11801.0
131225.0,11707.0
131275.0,11677.0
131325.0,11590.0
131375.0,11754.0
131425.0,11515.0
131475.0,11587.0
131525.0,11882.0
